base_currency,target_currency,exchange_rate
JPY,PKR,1.8932
JPY,PLN,0.02773
JPY,PYG,48.8664
JPY,QAR,0.02421
JPY,RON,0.0309
JPY,RSD,0.729
JPY,RUB,0.6134
JPY,RWF,8.4063
JPY,SAR,0.02494
JPY,SBD,0.0562
JPY,SCR,0.09006
JPY,SDG,2.9737
JPY,SEK,0.07265
JPY,SGD,0.009008
JPY,SHP,0.005408
JPY,SLE,0.1486
JPY,SLL,148.6353
JPY,SOS,3.8052
JPY,SRD,0.256
JPY,SSP,6.9736
JPY,STN,0.1523
JPY,SYP,85.4945
JPY,SZL,0.122
JPY,THB,0.2364
JPY,TJS,0.07269
JPY,TMT,0.02328
JPY,TND,0.02095
JPY,TOP,0.01505
JPY,TRY,0.1895
JPY,TTD,0.04461
JPY,TVD,0.01035
JPY,TWD,0.214
JPY,TZS,16.7013
JPY,UAH,0.2398
JPY,UGX,25.0293
JPY,USD,0.006651
JPY,UYU,0.2637
JPY,UZS,81.608
JPY,VES,0.2338
JPY,VND,161.8301
JPY,VUV,0.8083
JPY,WST,0.0182
JPY,XAF,4.0787
JPY,XCD,0.01796
JPY,XDR,0.005048
JPY,XOF,4.0787
JPY,XPF,0.742
JPY,YER,1.6551
JPY,ZAR,0.122
JPY,ZMW,0.1496
JPY,ZWL,38.0444
CAD,CAD,1.0
CAD,AED,2.6695
CAD,AFN,53.6822
CAD,ALL,71.6587
CAD,AMD,292.6822
CAD,ANG,1.3011
CAD,AOA,608.9736
CAD,ARS,254.4322
CAD,AUD,1.1312
CAD,AWG,1.3011
CAD,AZN,1.2342
CAD,BAM,1.3298
CAD,BBD,1.4538
CAD,BDT,79.8896
CAD,BGN,1.33
CAD,BHD,0.2733
CAD,BIF,2065.1193
CAD,BMD,0.7269
CAD,BND,0.985
CAD,BOB,5.0152
CAD,BRL,3.5412
CAD,BSD,0.7269
CAD,BTN,60.497
CAD,BWP,9.8919
CAD,BYN,2.3624
CAD,BZD,1.4538
CAD,CDF,1815.3065
CAD,CHF,0.6544
CAD,CLP,647.6342
CAD,CNY,5.296
CAD,COP,2948.9354
CAD,CRC,386.2567
CAD,CUP,17.4453
CAD,CVE,74.9687
CAD,CZK,16.7387
CAD,DJF,129.1831
CAD,DKK,5.0693
CAD,DOP,41.2047
CAD,DZD,98.367
CAD,EGP,22.4198
CAD,ERN,10.9033
CAD,ETB,40.7565
CAD,EUR,0.6799
CAD,FJD,1.6508
CAD,FKP,0.5911
CAD,FOK,5.0723
CAD,GBP,0.5911
CAD,GEL,1.9638
CAD,GGP,0.5911
CAD,GHS,8.7249
CAD,GIP,0.5911
CAD,GMD,47.5592
CAD,GNF,6248.8894
CAD,GTQ,5.6752
CAD,GYD,152.5054
CAD,HKD,5.683
CAD,HNL,17.8977
CAD,HRK,5.1227
CAD,HTG,96.9832
CAD,HUF,257.4357
CAD,IDR,11368.3017
CAD,ILS,2.8156
CAD,IMP,0.5911
CAD,INR,60.5384
CAD,IQD,953.8051
CAD,IRR,30978.2542
CAD,ISK,102.4611
CAD,JEP,0.5911
CAD,JMD,112.9068
CAD,JOD,0.5154
CAD,JPY,109.305
CAD,KES,110.9605
CAD,KGS,65.0017
CAD,KHR,3001.3067
CAD,KID,1.1311
CAD,KMF,334.487
CAD,KRW,950.5212
CAD,KWD,0.224
CAD,KYD,0.6057
CAD,KZT,337.9319
CAD,LAK,14951.2867
CAD,LBP,10903.3035
CAD,LKR,237.3971
CAD,LRD,138.3294
CAD,LSL,13.3369
CAD,LYD,3.5426
CAD,MAD,7.4211
CAD,MDL,13.0552
CAD,MGA,3307.0883
CAD,MKD,41.9388
CAD,MMK,1755.0465
CAD,MNT,2501.4883
CAD,MOP,5.8537
CAD,MRU,28.5911
CAD,MUR,32.098
CAD,MVR,11.1862
CAD,MWK,838.5926
CAD,MXN,12.7059
CAD,MYR,3.3969
CAD,MZN,46.5012
CAD,NAD,13.3369
CAD,NGN,567.2876
CAD,NIO,26.5177
CAD,NOK,8.1282
CAD,NPR,96.7952
CAD,NZD,1.2257
CAD,OMR,0.2795
CAD,PAB,0.7269
CAD,PEN,2.7482
CAD,PGK,2.688
CAD,PHP,40.7689
CAD,PKR,206.9357
CAD,PLN,3.0326
CAD,PYG,5352.618
CAD,QAR,2.6459
CAD,RON,3.384
CAD,RSD,79.8329
CAD,RUB,67.083
CAD,RWF,920.6245
CAD,SAR,2.7258
CAD,SBD,6.1446
CAD,SCR,9.863
CAD,SDG,325.7569
CAD,SEK,7.9413
CAD,SGD,0.985
CAD,SHP,0.5911
CAD,SLE,16.2448
CAD,SLL,16244.2234
CAD,SOS,416.8481
CAD,SRD,28.0391
CAD,SSP,763.5622
CAD,STN,16.6575
CAD,SYP,9364.7105
CAD,SZL,13.3369
CAD,THB,25.8785
CAD,TJS,7.9502
CAD,TMT,2.5462
CAD,TND,2.294
CAD,TOP,1.6448
CAD,TRY,20.7162
CAD,TTD,5.0593
CAD,TVD,1.1311
CAD,TWD,23.4007
CAD,TZS,1829.0588
CAD,UAH,26.2237
CAD,UGX,2741.1096
CAD,USD,0.7269
CAD,UYU,28.8891
CAD,UZS,8929.7138
CAD,VES,25.5529
CAD,VND,17673.3027
CAD,VUV,88.3277
CAD,WST,1.9904
CAD,XAF,445.9826
CAD,XCD,1.9626
CAD,XDR,0.5522
CAD,XOF,445.9826
CAD,XPF,81.1334
CAD,YER,181.2942
CAD,ZAR,13.3366
CAD,ZMW,16.385
CAD,ZWL,4157.9893
AUD,AUD,1.0
AUD,AED,2.3607
AUD,AFN,47.4426
AUD,ALL,63.3291
AUD,AMD,258.5984
AUD,ANG,1.1506
AUD,AOA,537.6705
AUD,ARS,225.0018
AUD,AWG,1.1506
AUD,AZN,1.0903
AUD,BAM,1.1762
AUD,BBD,1.2856
AUD,BDT,70.663
AUD,BGN,1.1762
AUD,BHD,0.2417
AUD,BIF,1827.8899
AUD,BMD,0.6428
AUD,BND,0.8703
AUD,BOB,4.4323
AUD,BRL,3.1306
AUD,BSD,0.6428
AUD,BTN,53.4984
AUD,BWP,8.7367
AUD,BYN,2.0855
AUD,BZD,1.2856
